CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_enc,Gender_enc,Cluster,DBSCAN
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0,0,2,-1
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,0,2,-1
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,1,0,-1
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,2,1,1,-1
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,1,1,-1
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,2,0,1,-1
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,1,1,0,-1
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,2,0,1,-1
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,1,0,2,-1
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,0,3,-1
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,1,2,-1
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,0,2,-1
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1,0,2,-1
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,0,1,-1
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,2,1,2,-1
646,France,Female,46,4,0.0,3,1,0,93251.42,1,0,0,1,-1
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,2,0,1,-1
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,2,1,0,-1
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,2,0,1,-1
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,1,2,-1
549,France,Female,52,1,0.0,1,0,1,8636.05,1,0,0,1,-1
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,2,1,1,-1
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,2,0,0,-1
416,France,Male,32,0,0.0,2,0,1,878.87,0,0,1,1,-1
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,2,1,1,-1
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,0,0,-1
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,2,0,0,-1
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,1,1,1,-1
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,1,0,3,-1
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,2,0,0,-1
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,1,0,3,-1
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,2,0,1,-1
807,France,Male,35,3,174790.15,1,1,1,600.36,0,0,1,3,-1
608,Spain,Female,41,3,89763.84,1,0,0,199304.74,1,2,0,0,-1
514,Spain,Male,30,7,0.0,1,0,1,125010.24,0,2,1,1,-1
850,France,Male,33,10,0.0,1,1,0,4861.72,1,0,1,1,-1
547,Germany,Female,39,6,74596.15,3,1,1,85746.52,1,1,0,1,-1
585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0,0,0,-1
668,France,Female,46,2,0.0,3,1,0,89048.46,1,0,0,1,-1
772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0,1,1,3,-1
771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0,1,0,0,-1
681,France,Female,79,0,0.0,2,0,1,170968.99,0,0,0,1,-1
696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,2,1,1,-1
671,Germany,Female,34,6,37266.67,2,0,0,156917.12,0,1,0,1,-1
557,France,Female,32,6,184686.41,2,1,0,14956.44,0,0,0,2,-1
549,Spain,Female,39,7,0.0,1,0,0,81259.25,1,2,0,1,-1
733,Germany,Male,34,3,100337.96,3,1,0,48559.19,1,1,1,2,-1
756,France,Male,62,3,0.0,1,1,1,11199.04,1,0,1,1,-1
